#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.groepverkerk;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1994-1995;37;1994-12-20;23900-XV;23;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.20.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.20.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;Van Zijl;nl.m.02971;;;de motie-Van Zijl c.s. over het peilen van de opvattingen in de samenleving over de financiering van de AOW ( 23900-XV, nr. 23)
commons;1994-1995;37;1994-12-20;23900-VII en -VI;18;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VII en -VI-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2581.html;aye;aye;no;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;Dijksman c.s;;;;de motie-Dijksman c.s over versterking van de inzet van politiemensen op straat ( 23900-VII en -VI, nr. 18)
commons;1994-1995;37;1994-12-20;23900-XV;33;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-33.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.47.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.47.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;no;no;no;;;aye;no;aye;;;aye;no;aye;aye;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over evaluatie van de toepassing van de WVG ( 23900-XV, nr. 33)
commons;1994-1995;37;1994-12-20;23900;18;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2579-2580.1.6.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2579-2580?view=html#nl.proc.ob.d.h-tk-19941995-37-2579-2580.1.6.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2579-2580.html;aye;aye;aye;no;;;aye;aye;no;;;aye;no;aye;aye;aye;no;Biesheuvel;nl.m.02822;;;amendement-Biesheuvel (stuk nr. 18, I)
commons;1994-1995;37;1994-12-20;23900;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/23900;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2579-2580.1.6.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2579-2580?view=html#nl.proc.ob.d.h-tk-19941995-37-2579-2580.1.6.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2579-2580.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;no;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het Ministerie van Sociale Zaken en Werkgelegenheid (XV) voor het jaar 1995 ( 23900-XV)
commons;1994-1995;37;1994-12-20;23838;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/23838;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2580.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2580?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2580.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2580.html;;;;;;;;;;;;;;;;;;;;;;Wijziging van hoofdstuk XV (Ministerie van Sociale Zaken en Werkgelegenheid) van de begroting van de uitgaven en de ontvangsten voor het jaar 1993 (Slotwet  rekening) ( 23838)
commons;1994-1995;37;1994-12-20;23900-XV;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;aye;aye;no;;;aye;aye;aye;;;aye;no;aye;aye;aye;no;Biesheuvel;nl.m.02822;;;de motie-Biesheuvel c.s. over de voorgenomen invoering van een extra partnertoets in de AOW ( 23900-XV, nr. 19)
commons;1994-1995;37;1994-12-20;23900-XV;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;no;aye;aye;no;;;aye;no;aye;;;aye;no;no;no;aye;no;Biesheuvel;nl.m.02822;Rosenmöller;nl.m.02970;de motie-Biesheuvel/Rosenmöller over het voornemen bovenwettelijke afspraken niet algemeen verbindend te verklaren ( 23900-XV, nr. 20)
commons;1994-1995;37;1994-12-20;23900-XV;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.14.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;aye;aye;aye;no;;;aye;aye;aye;;;aye;no;aye;aye;no;no;Biesheuvel;nl.m.02822;;;de motie-Biesheuvel over de malusregeling ( 23900-XV, nr. 21)
commons;1994-1995;37;1994-12-20;23900-XV;22;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;no;aye;aye;no;;;aye;no;aye;;;no;no;aye;aye;aye;no;Biesheuvel;nl.m.02822;;;de motie-Biesheuvel over overleg met de geledingen van de arbeidsvoorziening ( 23900-XV, nr. 22)
