#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1995-1996;3;1995-09-21;24400;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.3.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;aye;aye;aye;no;;;no;no;no;aye;aye;no;aye;aye;no;no;Heerma;nl.m.02819;;;motie-Heerma (24400, nr. 3)
commons;1995-1996;3;1995-09-21;24400;33;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-33.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.66.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.66.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;aye;no;;;aye;aye;no;no;aye;aye;aye;aye;aye;no;Heerma;nl.m.02819;;;motie-Heerma (24400, nr. 33)
commons;1995-1996;3;1995-09-21;24400;32;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-32.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.63.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.63.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;aye;no;no;no;;;no;no;no;no;no;no;no;no;no;no;Verkerk;nl.m.02546;;;motie-Verkerk (24400, nr. 32)
commons;1995-1996;3;1995-09-21;24400;31;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-31.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.60.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;aye;aye;no;no;;;aye;no;no;no;no;no;no;no;aye;no;Verkerk;nl.m.02546;;;motie-Verkerk (24400, nr. 31)
commons;1995-1996;3;1995-09-21;24400;30;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-30.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.57.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;aye;aye;no;no;;;no;no;no;no;no;no;no;no;no;no;Verkerk;nl.m.02546;;;motie-Verkerk (24400, nr. 30)
commons;1995-1996;3;1995-09-21;24400;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.54.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;no;no;;;aye;aye;no;no;no;no;aye;aye;aye;no;Van Dijke;nl.m.02509;;;motie-Van Dijke (24400, nr. 25)
commons;1995-1996;3;1995-09-21;24400;23;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.51.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;no;no;;;no;no;no;aye;aye;no;no;no;aye;no;Nijpels-Hezemans;nl.m.02530;;;motie-Nijpels-Hezemans (24400, nr. 23)
commons;1995-1996;3;1995-09-21;24400;22;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.48.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;no;no;;;aye;aye;no;aye;aye;aye;no;aye;no;no;Nijpels-Hezemans;nl.m.02530;;;motie-Nijpels-Hezemans (24400, nr. 22)
commons;1995-1996;3;1995-09-21;24400;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.45.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;no;no;;;no;no;no;aye;aye;no;no;no;no;no;Nijpels-Hezemans;nl.m.02530;;;motie-Nijpels-Hezemans (24400, nr. 21)
commons;1995-1996;3;1995-09-21;24400;16;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24400-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.42.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-3-117-189?view=html#nl.proc.ob.d.h-tk-19951996-3-117-189.1.32.42.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-3-117-189.html;no;no;no;no;;;aye;aye;no;aye;no;no;aye;aye;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (24400, nr. 16)
