#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.gl;nl.p.gpv;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1998-1999;3;1998-09-17;26200;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;no;;aye;aye;no;aye;aye;aye;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (26200, nr. 3)
commons;1998-1999;3;1998-09-17;26200;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.49.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.49.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;aye;no;aye;aye;aye;no;Schutte;nl.m.02676;Van der Vlies;nl.m.02682;motie-Schutte/Van der Vlies (26200, nr. 18)
commons;1998-1999;3;1998-09-17;26200;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.46.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.46.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;aye;;aye;aye;no;aye;aye;aye;no;Schutte;nl.m.02676;Rosenmöller;nl.m.02970;motie-Schutte/Rosenmöller (26200, nr. 17)
commons;1998-1999;3;1998-09-17;26200;16;motie;not-available;van agenda afgevoerd;https://zoek.officielebekendmakingen.nl/kst-26200-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.40.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;;;;;;;;;;;Van der Vlies;nl.m.02682;;;motie-Van der Vlies (26200, nr. 16)
commons;1998-1999;3;1998-09-17;26200;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.37.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;aye;aye;;aye;aye;aye;aye;aye;aye;no;De Graaf;nl.m.02517;Melkert;nl.m.02807;motie-De Graaf/Melkert (26200, nr. 15)
commons;1998-1999;3;1998-09-17;26200;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.34.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 14)
commons;1998-1999;3;1998-09-17;26200;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.31.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 13)
commons;1998-1999;3;1998-09-17;26200;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.28.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;aye;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26200, nr. 12)
commons;1998-1999;3;1998-09-17;26200;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.25.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;no;;aye;no;no;no;no;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (26200, nr. 11)
commons;1998-1999;3;1998-09-17;26200;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26200-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169.1.16.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-108-169?view=html#nl.proc.ob.d.h-tk-19981999-108-169.1.16.22.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-108-169.html;;no;aye;;aye;aye;no;aye;aye;aye;no;Rosenmöller;nl.m.02970;;;motie-Rosenmöller (26200, nr. 10)
