#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1999-2000;3;1999-09-23;26800;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;aye;no;aye;aye;;no;aye;aye;aye;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer (26800, nr. 3)
commons;1999-2000;3;1999-09-23;26800;26;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.67.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.67.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;aye;no;aye;aye;;no;aye;aye;aye;no;Schutte;nl.m.02676;;;motie-Schutte c.s. (26800, nr. 26)
commons;1999-2000;3;1999-09-23;26800;25;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.64.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.64.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;no;aye;aye;aye;;aye;aye;aye;aye;no;Van Dijke;nl.m.02509;;;motie-Van Dijke c.s. (26800, nr. 25)
commons;1999-2000;3;1999-09-23;26800;24;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.61.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.61.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;no;aye;aye;aye;;aye;aye;aye;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. (26800, nr. 24)
commons;1999-2000;3;1999-09-23;26800;23;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.58.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.58.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. (26800, nr. 23)
commons;1999-2000;3;1999-09-23;26800;22;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.55.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.55.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;no;aye;aye;aye;;aye;aye;no;aye;no;De Graaf;nl.m.02517;;;motie-De Graaf c.s. (26800, nr. 22)
commons;1999-2000;3;1999-09-23;26800;21;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.52.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.52.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;aye;aye;aye;no;;aye;no;no;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. (26800, nr. 21)
commons;1999-2000;3;1999-09-23;26800;20;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.49.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.49.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. (26800, nr. 20)
commons;1999-2000;3;1999-09-23;26800;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.46.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.46.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;no;no;aye;no;;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26800, nr. 19)
commons;1999-2000;3;1999-09-23;26800;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154.1.21.43.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-109-154?view=html#nl.proc.ob.d.h-tk-19992000-109-154.1.21.43.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-109-154.html;no;no;aye;no;;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen (26800, nr. 18)
