#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2000-2001;3;2000-09-21;27400;2a;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/27400;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;no;aye;no;;no;no;no;aye;no;De Hoop Scheffer;nl.m.02798;;;motie-De Hoop Scheffer over de wachtlijst voor het persoonsgebonden budget ( 27400, nr. 2a)
commons;2000-2001;3;2000-09-21;27400;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.48.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;no;no;;aye;no;aye;no;aye;Dijkstal;nl.m.02751;;;motie-Dijkstal c.s. over lastenverlichting voor de automobilisten ( 27400, nr. 17)
commons;2000-2001;3;2000-09-21;27400;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;no;;no;aye;no;;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen over de beloning in de zorgsector ( 27400, nr. 19)
commons;2000-2001;3;2000-09-21;27400;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;no;;no;aye;no;;no;no;no;aye;no;Marijnissen;nl.m.02529;;;motie-Marijnissen over de koopkracht van mensen met een minimumuitkering ( 27400, nr. 20)
commons;2000-2001;3;2000-09-21;27400;21;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.57.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;aye;aye;;aye;aye;no;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over het cultuurbudget ( 27400, nr. 21)
commons;2000-2001;3;2000-09-21;27400;22;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.60.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;aye;aye;;aye;aye;aye;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over een nationaal natuuroffensief ( 27400, nr. 22)
commons;2000-2001;3;2000-09-21;27400;23;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.63.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.63.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;no;;aye;aye;no;;aye;no;no;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over reserveringen voor substantiële investeringen ( 27400, nr. 23)
commons;2000-2001;3;2000-09-21;27400;24;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.66.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.66.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;aye;no;;aye;no;no;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over de combinatiekorting in de inkomstenbelasting ( 27400, nr. 24)
commons;2000-2001;3;2000-09-21;27400;25;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.69.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.69.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;aye;aye;;aye;aye;aye;aye;aye;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over de politie en de gezinsvoogdij ( 27400, nr. 25)
commons;2000-2001;3;2000-09-21;27400;26;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27400-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156.1.3.72.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-154-156?view=html#nl.proc.ob.d.h-tk-20002001-154-156.1.3.72.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-154-156.html;aye;;aye;aye;no;;aye;no;no;aye;no;De Graaf;nl.m.02517;;;motie-De Graaf c.s. over de positie van slachtoffers van ernstige misdrijven ( 27400, nr. 26)
