#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2001-2002;3;2001-09-20;28000;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28000-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-144-145.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-144-145?view=html#nl.proc.ob.d.h-tk-20012002-144-145.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-144-145.html;no;no;no;aye;;;;no;no;aye;no;Kuijper;nl.m.02230;;;de motie-Kuijper c.s. over de uurvergoeding van de sociale advocatuur ( 28000, nr. 12)
commons;2001-2002;3;2001-09-20;27751;68;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-68.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.181.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.181.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Van der Hoeven;nl.m.02880;;;de motie-Van der Hoeven c.s. over de financiële doorwerking van verplichtingen ( 27751, nr. 68)
commons;2001-2002;3;2001-09-20;27751;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27751;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.178.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.178.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;no;aye;;;;;Wijziging van de Gemeentewet en enige andere wetten tot dualisering van de inrichting, de bevoegdheden en de werkwijze van het gemeentebestuur (Wet dualisering gemeentebestuur) ( 27751)
commons;2001-2002;3;2001-09-20;27751;25;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-25.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-25?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.173.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.173.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Van der Hoeven;nl.m.02880;De Cloe;nl.m.02709;amendement-Van der Hoeven/De Cloe (stuk nr. 25)
commons;2001-2002;3;2001-09-20;27751;65;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-65.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-65?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.168.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.168.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;no;no;aye;aye;;;;no;no;aye;aye;Pitstra;nl.m.02868;Scheltema-de Nie;nl.m.02982;amendement-Pitstra/Scheltema-de Nie (tot invoeging van een vierde lid)
commons;2001-2002;3;2001-09-20;27751;62;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-62.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-62?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.163.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.163.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Scheltema-De Nie;nl.m.02982;Pitstra;nl.m.02868;amendement-Scheltema-De Nie/Pitstra (stuk nr. 62, I)
commons;2001-2002;3;2001-09-20;27751;73;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-73.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-73?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.156.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.156.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;no;no;no;no;;;;aye;no;no;aye; Te Veldhuis;nl.m.02743;De Cloe;nl.m.02709;amendement- Te Veldhuis/De Cloe (stuk nr. 73, I)
commons;2001-2002;3;2001-09-20;27751;37;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-37.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-37?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.149.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.149.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;no;aye;;;;no;no;aye;no;Pitstra;nl.m.02868;Slob;nl.m.01639;amendement-Pitstra/Slob (stuk nr. 37, I)
commons;2001-2002;3;2001-09-20;27751;76;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-76.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-76?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.144.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.144.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Slob;nl.m.01639;;;amendement-Slob c.s. (stuk nr. 76)
commons;2001-2002;3;2001-09-20;27751;67;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27751-67.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27751-67?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143.1.134.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-139-143?view=html#nl.proc.ob.d.h-tk-20012002-139-143.1.134.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-139-143.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Scheltema-de Nie;nl.m.02982;;;amendement-Scheltema-de Nie (stuk nr. 67)
