#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groepdejong2;nl.p.groepwijnschenk;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2002-2003;3;2002-09-19;28600;22;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.57.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;no;no;aye;;;aye;no;;aye;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over het vastleggen van maximale wachttijden ( 28600, nr. 22)
commons;2002-2003;3;2002-09-19;28600;20;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;no;no;no;;;no;aye;;no;aye;no;aye;Wijnschenk;nl.m.02319;;;de motie-Wijnschenk c.s. over blauw op straat ( 28600, nr. 20)
commons;2002-2003;3;2002-09-19;28600;21;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;aye;aye;aye;;;aye;aye;;aye;aye;aye;aye;Wijnschenk;nl.m.02319;;;de motie-Wijnschenk c.s. over het voorkomen van gokverslaving ( 28600, nr. 21)
commons;2002-2003;3;2002-09-19;28600;23;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.60.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;no;no;;aye;aye;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over maatschappelijke opvang en vrouwenopvang ( 28600, nr. 23)
commons;2002-2003;3;2002-09-19;28600;24;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.63.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.63.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;no;aye;aye;;;no;aye;;aye;no;aye;aye;Marijnissen;nl.m.02529;;;de motie-Marijnissen over een parlementair onderzoek naar het integratiebeleid ( 28600, nr. 24)
commons;2002-2003;3;2002-09-19;28600;25;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.66.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.66.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;no;no;no;;;aye;aye;;no;no;no;aye;Zalm;nl.m.01630;;;de motie-Zalm c.s. over het compenseren van de lastenverzwaring door extra lastenverlichting ( 28600, nr. 25)
commons;2002-2003;3;2002-09-19;28600;26;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.69.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.69.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;aye;aye;aye;;;aye;aye;;aye;aye;no;aye;Zalm;nl.m.01630;;;de motie-Zalm c.s. over versnelling van uitvoering van het actieplan Samen werken aan veiligheid ( 28600, nr. 26)
commons;2002-2003;3;2002-09-19;28600;29;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-29.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;aye;no;;aye;aye;aye;no;Giskes;nl.m.02516;;;de motie-Giskes c.s. over kleinere scholen ( 28600, nr. 29)
commons;2002-2003;3;2002-09-19;28600;30;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-30.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;no;aye;aye;;;no;no;;no;no;no;no;Giskes;nl.m.02516;Rosenmöller;nl.m.02970;de motie-Giskes/Rosenmöller over behoud van het spaarloon ( 28600, nr. 30)
commons;2002-2003;3;2002-09-19;28600;31;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-31.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;aye;aye;aye;;;aye;no;;aye;aye;no;aye;Giskes;nl.m.02516;;;de motie-Giskes c.s. over hiv/aids bij werknemers van Nederlandse ambassades in Afrika ( 28600, nr. 31)
commons;2002-2003;3;2002-09-19;28600;32;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-32.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;no;no;;aye;aye;aye;no;Van Dijke;nl.m.02509;Rosenmöller;nl.m.02970;de motie-Van Dijke/Rosenmöller over aanvullende maatregelen om de Kyotodoelstelling te halen ( 28600, nr. 32)
commons;2002-2003;3;2002-09-19;28600;33;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-33.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;no;no;;;aye;no;;no;aye;no;no;Van Dijke;nl.m.02509;Van der Vlies;nl.m.02682;de motie-Van Dijke/Van der Vlies over onderscheid tussen de verschillende soorten drugs binnen het kader van de Opiumwet ( 28600, nr. 33)
commons;2002-2003;3;2002-09-19;28600;34;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-34.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.22.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;no;no;;aye;no;aye;no;Van Dijke;nl.m.02509;;;de motie-Van Dijke over uitbreiding van terugkeerovereenkomsten met hervestigingsfaciliteiten ( 28600, nr. 34)
commons;2002-2003;3;2002-09-19;28600;35;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-35.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.25.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;aye;no;no;;;no;no;;no;aye;no;no;Van der Vlies;nl.m.02682;Van Dijke;nl.m.02509;de motie-Van der Vlies/Van Dijke over het vertonen van gewelds- en anderszins schadelijke scènes ( 28600, nr. 35)
commons;2002-2003;3;2002-09-19;28600;37;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-37.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;aye;no;;aye;aye;aye;no;Teeven;nl.m.02336;;;de motie-Teeven c.s. over volledige benutting van de opleidingscapaciteit van de politie door uitbreiding van de politiesterkte ( 28600, nr. 37)
commons;2002-2003;3;2002-09-19;28600;39;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-39.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.71.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.71.31.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;no;no;no;;;aye;aye;;aye;no;no;aye;Teeven;nl.m.02336;;;motie-Teeven (28600, nr. 39)
commons;2002-2003;3;2002-09-19;28600;19;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.48.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.48.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;aye;aye;;;aye;no;;aye;aye;aye;no;Rosenmöller;nl.m.02970;;;de motie-Rosenmöller c.s. over de infraheffing voor het personenvervoer ( 28600, nr. 19)
commons;2002-2003;3;2002-09-19;28600;18;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28600-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.45.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;aye;aye;aye;aye;;;aye;aye;;aye;aye;aye;aye;Rosenmöller;nl.m.02970;;;de motie-Rosenmöller c.s. over de bezuiniging op de Raad voor de kinderbescherming ( 28600, nr. 18)
commons;2002-2003;3;2002-09-19;28600;3) ;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/28600;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-180-183?view=html#nl.proc.ob.d.h-tk-20022003-180-183.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-180-183.html;no;aye;no;aye;;;no;no;;aye;no;aye;no;Van Nieuwenhoven;nl.m.02712;;;de motie-Van Nieuwenhoven c.s. over arbeidsplaatsen in de onderste loonschalen ( 28600, nr. 3)
