#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2003-2004;3;2003-09-18;29200;21;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;no;aye;aye;;;aye;;aye;no;aye;no;Dittrich;nl.m.02512;;;motie-Dittrich (29200, nr. 21)
commons;2003-2004;3;2003-09-18;29200;28;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-28.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.31.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;aye;;aye;aye;aye;no;Rouvoet;nl.m.02541;;;motie-Rouvoet c.s. (29200, nr. 28)
commons;2003-2004;3;2003-09-18;29200;27;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-27.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;no;;;no;;no;aye;aye;no;Rouvoet;nl.m.02541;;;motie-Rouvoet (29200, nr. 27)
commons;2003-2004;3;2003-09-18;29200;24;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-24.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.25.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;aye;;;no;;aye;no;aye;no;Halsema;nl.m.02220;;;motie-Halsema c.s. (29200, nr. 24)
commons;2003-2004;3;2003-09-18;29200;23;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-23.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.22.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;no;no;aye;;;no;;aye;no;aye;no;Halsema;nl.m.02220;;;motie-Halsema c.s. (29200, nr. 23)
commons;2003-2004;3;2003-09-18;29200;20;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-20.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;no;;;aye;;aye;aye;aye;no;Herben;nl.m.02353;Bos;nl.m.02212;motie-Herben/Bos (29200, nr. 20)
commons;2003-2004;3;2003-09-18;29200;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;aye;aye;;;aye;;no;aye;no;no;Herben;nl.m.02353;;;motie-Herben (29200, nr. 18)
commons;2003-2004;3;2003-09-18;29200;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;aye;no;no;;;aye;;no;aye;aye;no;Herben;nl.m.02353;;;motie-Herben (29200, nr. 17)
commons;2003-2004;3;2003-09-18;29200;15;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;no;no;no;no;;;aye;;no;no;no;no;Herben;nl.m.02353;;;motie-Herben (29200, nr. 15)
commons;2003-2004;3;2003-09-18;29200;14;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29200-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157.1.24.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-155-157?view=html#nl.proc.ob.d.h-tk-20032004-155-157.1.24.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-155-157.html;aye;aye;aye;no;;;aye;;aye;aye;aye;aye;Van Aartsen;nl.m.01809;;;motie-Van Aartsen c.s. (29200, nr. 14)
