#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2004-2005;2;2004-09-22;27659;34;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-34.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;aye;aye;aye;;no;aye;;aye;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;de motie-Kant/Tonkens over eisen voor een verdere democratisering van een bestuur ( 27659, nr. 34)
commons;2004-2005;2;2004-09-22;27659;38;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-38.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.60.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.60.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;no;Heemskerk;nl.m.02461;;;de motie-Heemskerk over een gelijk speelveld voor de verschillende instellingen ( 27659, nr. 38)
commons;2004-2005;2;2004-09-22;27659;36;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-36.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.57.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.57.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Heemskerk;nl.m.02461;;;de motie-Heemskerk over het door instellingen zelf kunnen aanwijzen van belanghebbenden ( 27659, nr. 36)
commons;2004-2005;2;2004-09-22;29621;7;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29621-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-14-15?view=html#nl.proc.ob.d.h-tk-20042005-14-15.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-14-15.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;Jan de Vries;nl.m.02373;;;de motie-Jan de Vries c.s. over herstel van de onrechtmatigheid bij het ministerie van OCW ( 29621, nr. 7)
commons;2004-2005;2;2004-09-22;27659;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27659;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.50.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.50.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;aye;aye;no;aye;;aye;aye;;aye;aye;no;aye;;;;;het wetsvoorstel Vereenvoudiging van het stelsel van overheidsbemoeienis met het aanbod van zorginstellingen (Wet toelating zorginstellingen) ( 27659)
commons;2004-2005;2;2004-09-22;27659;31;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-31.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-31?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.45.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.45.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Heemskerk;nl.m.02461;;;amendement-Heemskerk (stuk nr. 31)
commons;2004-2005;2;2004-09-22;27659;41;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-41.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-41?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.40.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;aye;no;aye;aye;;no;aye;;aye;aye;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 41)
commons;2004-2005;2;2004-09-22;27659;44;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-44.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-44?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.37.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;no;no;no;aye;aye;;no;aye;;aye;no;aye;no;Kant;nl.m.02226;Tonkens;nl.m.02340;amendement-Kant/Tonkens (stuk nr. 44)
commons;2004-2005;2;2004-09-22;27659;24;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.32.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;no;no;no;no;;aye;aye;;no;aye;no;aye;Vietsch;nl.m.02372;;;amendement-Vietsch (stuk nr. 24)
commons;2004-2005;2;2004-09-22;27659;23;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27659-23.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27659-23?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14.1.7.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-13-14?view=html#nl.proc.ob.d.h-tk-20042005-13-14.1.7.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-13-14.html;aye;no;no;no;no;;aye;aye;;no;no;aye;no;Vietsch;nl.m.02372;;;amendement-Vietsch (stuk nr. 23)
