house	legislative-period	session-number	date of vote	dossier nummer	onder nummer	type	outcome	stemmings type	bron amendement op OB	link amendement HTML op PM	link stemming XML op PM	link stemming in context HTML op PM	bron stemming op OB	nl.p.cda	nl.p.cu	nl.p.d66	nl.p.gl	nl.p.groepeerdmansvanschijndel	nl.p.groeplazrak	nl.p.groepnawijn	nl.p.groepvanoudenallen	nl.p.groepwilders	nl.p.lpf	nl.p.osf	nl.p.pvda	nl.p.sgp	nl.p.sp	nl.p.vvd	indiener 1, naam volgens stemming	indiener 1, id volgens stemming	indiener 2, naam volgens stemming	indiener 2, id volgens stemming	titel document volgens stemming
commons	2005-2006	3	2005-09-22	30300	30	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-30.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.69.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.69.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	no		no	no		no	aye	aye	no	Rouvoet	nl.m.02541			de motie-Rouvoet over het stimuleren van studenten tot verrichten van vrijwilligerswerk ( 30300, nr. 30)
commons	2005-2006	3	2005-09-22	30300	20	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-20.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.39.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.39.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	aye	aye		no	no		no	no		no	no	aye	no	Halsema	nl.m.02220	Marijnissen	nl.m.02529	de motie-Halsema/Marijnissen over verplichtstellen van de werkgeversbijdrage voor kinderopvang ( 30300, nr. 20)
commons	2005-2006	3	2005-09-22	30300	21	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-21.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.42.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.42.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	aye	aye		no	no		no	no		aye	aye	aye	no	Halsema	nl.m.02220			de motie-Halsema c.s. over bevordering van eerlijke handel in cacao ( 30300, nr. 21)
commons	2005-2006	3	2005-09-22	30300	22	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-22.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.45.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.45.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over versnelde inrichting van Het Groene Hart als Nationaal Landschap ( 30300, nr. 22)
commons	2005-2006	3	2005-09-22	30300	23	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-23.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.48.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.48.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over bevordering van de doorstroom van leerkrachten van primair onderwijs naar het voortgezet onderwijs ( 30300, nr. 23)
commons	2005-2006	3	2005-09-22	30300	24	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-24.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.51.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.51.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over de zorgtoeslag ( 30300, nr. 24)
commons	2005-2006	3	2005-09-22	30300	25	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-25.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.54.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.54.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Dittrich	nl.m.02512			de motie-Dittrich c.s. over verhoging van de basisbeurs ( 30300, nr. 25)
commons	2005-2006	3	2005-09-22	30300	26	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-26.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.57.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.57.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	no	no	no		no	aye		aye	aye		no	no	no	aye	Van As	nl.m.02327			de motie-Van As c.s. over een tegenprestatie van mensen die een bijstandsuitkering genieten ( 30300, nr. 26)
commons	2005-2006	3	2005-09-22	29283	27	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-29283-27.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.60.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.60.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	no	no	no		no	aye		aye	aye		no	no	no	aye	Van As	nl.m.02327			motie-Van As (29283, nr. 27)
commons	2005-2006	3	2005-09-22	30300	28	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-28.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.63.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.63.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Rouvoet	nl.m.02541			de motie-Rouvoet c.s. over onderzoek naar laten vervallen van verplichte sociale verzekeringen voor studenten en scholieren ( 30300, nr. 28)
commons	2005-2006	3	2005-09-22	30300	29	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-29.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.66.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.66.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	aye		aye	aye		aye	aye	aye	no	Rouvoet	nl.m.02541			de motie-Rouvoet c.s. over kwaliteitsverbetering in de verpleeghuiszorg ( 30300, nr. 29)
commons	2005-2006	3	2005-09-22	30300	31	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-31.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.72.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.72.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	no	no		no	aye		aye	aye		no	aye	aye	aye	Van der Vlies	nl.m.02682			de motie-Van der Vlies c.s. over bevordering van duurzaamheid binnen de land- en tuinbouw ( 30300, nr. 31)
commons	2005-2006	3	2005-09-22	30300	19	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-19.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.36.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.36.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	no	Halsema	nl.m.02220	Verhagen	nl.m.02920	de motie-Halsema/Verhagen over verruiming van fiscale compensatie van chronisch zieken en gehandicapten ( 30300, nr. 19)
commons	2005-2006	3	2005-09-22	30300	18	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-18.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.33.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.33.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	no		no	aye		aye	aye		aye	aye	no	aye	Van Aartsen	nl.m.01809			de motie-Van Aartsen c.s. over verhoging van de onbelaste vergoeding van zakelijke kilometers ( 30300, nr. 18)
commons	2005-2006	3	2005-09-22	30300	8	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-8.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.3.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.3.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	no	aye	no	aye		no	aye		no	no		aye	no	aye	no	Bos	nl.m.02212			de motie-Bos c.s. over een evenwichtiger koopkrachtbeeld ( 30300, nr. 8)
commons	2005-2006	3	2005-09-22	30300	9	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-9.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.6.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.6.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over jeugdbeleid, onderwijs en sport ( 30300, nr. 9)
commons	2005-2006	3	2005-09-22	30300	10	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-10.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over verhoging van de kinderkorting ( 30300, nr. 10)
commons	2005-2006	3	2005-09-22	30300	11	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-11.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verhagen	nl.m.02920			de motie-Verhagen c.s. over compensatie van de olieprijzen ( 30300, nr. 11)
commons	2005-2006	3	2005-09-22	30300	12	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-12.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161.1.8.15.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-158-161?view=html#nl.proc.ob.d.h-tk-20052006-158-161.1.8.15.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-158-161.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Marijnissen	nl.m.02529			de motie-Marijnissen over wegwerken van achterstand bij de rechterlijke macht ( 30300, nr. 12)
