#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groepeerdmansvanschijndel;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepvanoudenallen;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2006-2007;2;2006-09-20;30350;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30350;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-9-9-1?view=html#nl.proc.ob.d.h-tk-20062007-9-9-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-9-9-1.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Wijziging van de Wet op het notarisambt en enige andere wetten in verband met de invoering van de mogelijkheid het ambt van notaris in dienstbetrekking uit te oefenen en het aanbrengen van enkele wijzingen van technische aard (Wet notaris in dienstbetrekking) ( 30350)
commons;2006-2007;2;2006-09-20;30501;11;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;aye;;;aye;aye;aye;Atsma;nl.m.02204;;;de motie-Atsma c.s. over uniforme regels voor opdrachten onder de Europese drempelwaarden ( 30501, nr. 11)
commons;2006-2007;2;2006-09-20;30501;12;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30501-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-11?view=html#nl.proc.ob.d.h-tk-20062007-11-11.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-11.html;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;aye;;;aye;aye;aye;Atsma;nl.m.02204;;;de motie-Atsma c.s. over de geldigheidsduur van de integriteitsverklaring ( 30501, nr. 12)
commons;2006-2007;2;2006-09-20;30474;10;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;no;no;no;no;aye;aye;aye;aye;;aye;;;aye;no;aye;Mastwijk;nl.m.02332;Oplaat;nl.m.02233;amendement-Mastwijk/Oplaat (stuk nr. 10)
commons;2006-2007;2;2006-09-20;30474;19;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-19.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-19?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;no;no;no;no;no;no;aye;aye;no;aye;;no;;;no;no;no;Van den Brink;nl.m.02366;;;amendement-Van den Brink (stuk nr. 19)
commons;2006-2007;2;2006-09-20;30474;8;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-8.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-8?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;no;no;no;aye;aye;aye;aye;;no;;;aye;aye;aye;Mastwijk;nl.m.02332;;;amendement-Mastwijk c.s. (stuk nr. 8, I)
commons;2006-2007;2;2006-09-20;30474;13;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30474-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;no;no;no;no;no;no;aye;aye;no;aye;;no;;;no;no;no;Van den Brink;nl.m.02366;;;amendement-Van den Brink (stuk nr. 13)
commons;2006-2007;2;2006-09-20;30474;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30474;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.34.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;;;;;Regeling voor de toelating, het op de markt brengen en het gebruik van gewasbeschermingmiddelen en biociden (Wet gewasbeschermingsmiddelen en biociden) ( 30474)
commons;2006-2007;2;2006-09-20;30474;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.37.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.37.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;no;no;no;no;aye;aye;aye;aye;;no;;;aye;no;aye;Oplaat;nl.m.02233;;;de motie-Oplaat c.s. over rechtstreekse vertaling van Europese regelgeving ( 30474, nr. 15)
commons;2006-2007;2;2006-09-20;30474;16;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30474-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12.1.40.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20062007-11-12?view=html#nl.proc.ob.d.h-tk-20062007-11-12.1.40.1;https://zoek.officielebekendmakingen.nl/h-tk-20062007-11-12.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;;aye;;;aye;aye;aye;Mastwijk;nl.m.02332;;;de motie-Mastwijk c.s. over gebruik van gewasbeschermingsmiddelen zonder toelating ( 30474, nr. 16)
