#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.lidverdonk;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2007-2008;3;2007-09-20;31200;25;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-25.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;no;no;;no;no;aye;no;no;no;Wilders;nl.m.02258;;;de motie-Wilders over het tegengaan van de islamisering van Nederland ( 31200, nr. 25)
commons;2007-2008;3;2007-09-20;31200;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;aye;;aye;no;;no;aye;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over een parlementair onderzoek naar de houdbaarheid en betaalbaarheid van het systeem van hypotheekrenteaftrek ( 31200, nr. 13)
commons;2007-2008;3;2007-09-20;31200;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;aye;no;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over het "profijtbeginsel cultuur" ( 31200, nr. 12)
commons;2007-2008;3;2007-09-20;31200;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;aye;;aye;no;;no;aye;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over de bezuinigingen op de rechtsbijstand ( 31200, nr. 11)
commons;2007-2008;3;2007-09-20;31200;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;aye;no;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over de belastingaftrek voor bijzondere ziektekosten ( 31200, nr. 10)
commons;2007-2008;3;2007-09-20;31200;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over de aanspraken op ondersteunende begeleiding ( 31200, nr. 9)
commons;2007-2008;3;2007-09-20;31200;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.9.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.9.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;aye;no;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over prestatiebeloningen in de private sector ( 31200, nr. 8)
commons;2007-2008;3;2007-09-20;31200;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179.1.8.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-177-179?view=html#nl.proc.ob.d.h-tk-20072008-177-179.1.8.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-177-179.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over het structureel bestrijden van de armoede ( 31200, nr. 7)
commons;2007-2008;3;2007-09-20;30970;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;aye;aye;Omtzigt;nl.m.02441;;;de motie-Omtzigt c.s. over het groeipad van de Wet eenmalige gegevensuitvraag ( 30970, nr. 15)
commons;2007-2008;3;2007-09-20;30970;14;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;no;aye;aye;aye;aye;Nicolaï;nl.m.02231;;;de motie-Nicolaï c.s. over een verplichte aansluiting van de sociale diensten op de systemen van de overige ketenpartners werk en inkomen ( 30970, nr. 14)
commons;2007-2008;3;2007-09-20;30970;13;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;aye;aye;Ulenbelt;nl.m.03096;;;de motie-Ulenbelt over het correctierecht van burgers ( 30970, nr. 13)
commons;2007-2008;3;2007-09-20;30970;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30970;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Wet structuur uitvoeringsorganisatie werk en inkomen, de Wet werk en bijstand, de Werkloosheidswet en enige andere wetten in verband met eenmalige gegevensuitvraag aan burgers (Wet eenmalige gegevensuitvraag werk en inkomen) ( 30970)
commons;2007-2008;3;2007-09-20;30970;9;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-9.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30970-9?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;aye;no;aye;aye;aye;Omtzigt;nl.m.02441;Heerts;nl.m.03073;amendement-Omtzigt/Heerts (stuk nr. 9)
commons;2007-2008;3;2007-09-20;30970;11;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-11.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30970-11?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;aye;aye;Heerts;nl.m.03073;Omtzigt;nl.m.02441;amendement-Heerts/Omtzigt (stuk nr. 11)
commons;2007-2008;3;2007-09-20;30970;17;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-17.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30970-17?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Ulenbelt;nl.m.03096;;;amendement-Ulenbelt (stuk nr. 17)
commons;2007-2008;3;2007-09-20;30970;18;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30970-18.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30970-18?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-176-176?view=html#nl.proc.ob.d.h-tk-20072008-176-176.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-176-176.html;aye;aye;aye;;aye;aye;;aye;no;aye;aye;aye;aye;Heerts;nl.m.03073;Omtzigt;nl.m.02441;amendement-Heerts/Omtzigt (stuk nr. 18, I)
