#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2010-2011;3;2010-09-23;28286;431;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28286-431.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22?view=html#nl.proc.ob.d.h-tk-20102011-3-22.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-3-22.html;;aye;aye;no;;no;;no;no;aye;aye;no;aye;Dijkgraaf;nl.m.02306;;;de motie-Dijkgraaf c.s. over opheffen van het fokverbod voor jaarlingen die in 2010 besmet zijn verklaard ( 28286, nr. 431)
commons;2010-2011;3;2010-09-23;28286;432;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28286-432.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22?view=html#nl.proc.ob.d.h-tk-20102011-3-22.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-3-22.html;;no;aye;no;;no;;no;no;aye;aye;no;aye;Dijkgraaf;nl.m.02306;Wiegman-van Meppelen Scheppink;nl.m.03125;de motie-Dijkgraaf/Wiegman-van Meppelen Scheppink over opheffen van het fokverbod voor jaarlingen op besmette melkschapenbedrijven ( 28286, nr. 432)
commons;2010-2011;3;2010-09-23;28286;433;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28286-433.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22?view=html#nl.proc.ob.d.h-tk-20102011-3-22.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-3-22.html;;no;aye;no;;no;;no;no;aye;aye;no;aye;Dijkgraaf;nl.m.02306;Wiegman-van Meppelen Scheppink;nl.m.03125;de motie-Dijkgraaf/Wiegman-van Meppelen Scheppink over het fokverbod voor jaarlingen ( 28286, nr. 433)
commons;2010-2011;3;2010-09-23;28286;434;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28286-434.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-3-22?view=html#nl.proc.ob.d.h-tk-20102011-3-22.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-3-22.html;;aye;aye;aye;;aye;;aye;no;aye;aye;aye;aye;Ormel;nl.m.02368;;;de motie-Ormel c.s. over een plan van aanpak ter bestrijding van Q-koorts ( 28286, nr. 434)
commons;2010-2011;4;2010-09-28;32333:,32333;62;brief;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-32333:,32333-62.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-19.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-19?view=html#nl.proc.ob.d.h-tk-20102011-4-19.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-19.html;;aye;no;aye;;aye;;aye;aye;aye;aye;aye;aye;;;;;In stemming komt de brief van de vaste commissie voor Justitie (32333, nr. 62) met voorgestelde wijzigingen in onderdeel D
commons;2010-2011;4;2010-09-28;29628;224;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29628-224.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-17.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-17?view=html#nl.proc.ob.d.h-tk-20102011-4-17.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-17.html;;no;aye;aye;;aye;;aye;aye;aye;aye;aye;aye;Van Raak;nl.m.03035;Hennis-Plasschaert;nl.m.16052;motie-Van Raak/Hennis-Plasschaert (29628, nr. 224)
commons;2010-2011;4;2010-09-28;29344;77;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29344-77.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-22.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-22?view=html#nl.proc.ob.d.h-tk-20102011-4-22.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-22.html;;no;no;no;;no;;no;no;aye;no;no;no;Agema;nl.m.03048;;;de motie-Agema over beperken van de medische zorg voor asielzoekers tot spoedeisende medisch noodzakelijke zorg ( 29344, nr. 77)
commons;2010-2011;4;2010-09-28;32195;9;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-32195-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-15.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-15?view=html#nl.proc.ob.d.h-tk-20102011-4-15.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-15.html;;aye;aye;aye;;aye;;aye;aye;no;aye;aye;no;Arib;nl.m.02203;;;de motie-Arib over vormgeving en financiering van selectieve preventie ( 32195, nr. 9)
commons;2010-2011;4;2010-09-28;32195;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32195;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-15.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-15?view=html#nl.proc.ob.d.h-tk-20102011-4-15.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-15.html;;aye;aye;aye;;aye;;aye;aye;aye;aye;aye;aye;;;;;Wijziging van de Wet publieke gezondheid onder meer in verband met de Wet veiligheidsregio's ( 32195)
commons;2010-2011;4;2010-09-28;32322;4;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32322-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-20.1.6.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-4-20?view=html#nl.proc.ob.d.h-tk-20102011-4-20.1.6.3.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-4-20.html;;no;no;no;;no;;no;no;aye;no;no;no;Brinkman;nl.m.03099;;;de motie-Brinkman over het belang van de onafhankelijkheid van het instituut Nationale ombudsman ( 32322, nr. 4)
